Spot ID,Name,Latitude,Longitude
44963,Cape Flattery,-14.97,145.31
44371,Adele Island,-15.51,123.16
44575,Bradshaw,-14.94,130.81
44654,Delamere,-15.74,131.92
44667,Kowanyama,-15.48,141.75
44669,Kalumburu,-14.3,126.65
44965,Cooktown,-15.45,145.19
45089,Kununurra Airport,-15.78,128.71
45094,Truscott,-14.09,126.39
45098,Wyndham Airport,-15.51,128.15
45348,Port Keats,-14.25,129.53
45350,Tindal,-14.52,132.38
45362,Centre Island,-15.74,136.82
64686,St. Helena Island,-15.93333,-5.66667
91467,Bougainville Reef,-15.49,147.12
100421,Ngukurr AWS,-14.72,134.75
15159,Pago Pago,-14.34,-170.72
16727,Kununurra,-15.77,128.7
16730,Katherine,-14.43,132.27
17178,Majunga,-15.67,46.35
17478,Nampula FQNP,-15.1,39.28
18931,Vallejos,-14.82,-64.92
34863,FWCL,-15.68,34.97
62945,Adele Island,-15.5114,123.1556
63949,Kununurra Kununurra Aws,-15.7814,128.71
64532,Centre Is.,-15.7426,136.8192
64534,Tindal / Katherine,-14.5229,132.3826
64552,Bradshaw,-14.9408,130.8092
64560,Delamere Weapons Range,-15.7442,131.9182
64643,Ascencion De Guarayos,-15.71667,-63.1
65271,Bougainville Reef,-15.4877,147.1183
65496,Nazca,-14.85395,-74.96154
68282,Sambava,-14.27861,50.17472
72185,Kalabo,-14.85,22.7
16452,Brasilia,-15.87,-47.93
16926,Titicaca,-15.48,-70.15
17053,Várzea Grande,-15.65,-56.1
20059,Ilheus Aeroporto,-14.81596,-39.0332
68838,Lusaka Internationalair,-15.33082,28.45263
69165,Apolo,-14.73333,-68.5
69176,Trinidad,-14.81874,-64.91802
648268,Primavera do Leste,-15.528,-54.30302
16693,Reyes,-14.32,-67.38
67742,Pekoa,-15.50503,167.21974
68763,Nampula,-15.10561,39.2818
100358,FNUB,-14.92,13.57
116518,Longana Airport,-15.3067,167.967
159319,NVSG,-15.3,167.96001
44616,Palmerville,-16.0,144.08
16692,Rurrenabaque,-14.42,-67.5
69035,Antalaha/antsira,-14.88333,50.25
69166,San Borja,-14.86667,-66.86667
69244,Lusaka City Airport,-15.41382,28.33068
70733,Lubango (sa Da Band,-14.92473,13.57502
93240,Zumbo,-15.61667,30.43333
146509,Kabwe Agric,-14.4,28.5
185828,FW1759 Primavera do Leste BR,-15.498,-54.12633
94598,Aguas Claras - Brasilia,-15.839,-48.017
103141,SBTC,-15.35,-38.98
19342,Paraíso,-14.92,-65.6
20057,Barra do Garças,-15.87,-52.38
63126,Januaria,-15.43333,-44.36667
63128,Pedra Azul,-16.0,-41.28333
63142,Xavantina,-14.7,-52.35
64164,Hotel Transamerica,-15.35524,-38.99901
66636,Arinos,-15.9,-46.05
68593,Doongan,-15.3797,126.3114
68961,Cuamba,-14.83333,36.51667
69175,San Ignacio De Moxos,-14.91667,-65.6
69188,Kanyemba,-15.63333,30.41667
69219,Posse,-14.1,-46.36667
69238,Aragarcas,-15.9,-52.23333
69521,Mongu,-15.25454,23.16231
69522,Kaoma,-14.8,24.8
69523,Kabwe/milliken,-14.45,28.46667
69622,Petauke,-14.25,31.28333
70931,Lumbo,-15.03306,40.67173
71453,Ulongue,-14.73333,34.35
71917,Chileka,-15.67905,34.97401
71974,Mumbwa,-15.06667,27.18333
72124,Bvumbwe,-15.91667,35.06667
72179,Dedza,-14.31667,34.26667
72181,Chichiri,-15.78333,35.03333
72365,Mangochi,-14.43333,35.25
72996,Monkey Bay,-14.0836,34.9197
73004,Mount Makulu,-15.55,28.25
73007,Magoye,-16.0,27.6
84883,Niuatoputapu Is.,-15.95,-173.76667
87916,Makoka,-15.51667,35.21667
189259,FW5253 Brasilia BR,-15.93,-47.94683
559418,R. Gen. Lima de Figueiredo,-15.84593,-47.80947
582242,Lusaka,-15.49301,28.17065
33776,Bahia Independencia,-14.22805,-76.23686
33787,Puerto Caballas,-14.9409,-75.52562
34215,Cape Flattery Nearshore,-14.89902,145.40076
34218,Cooktown,-15.44437,145.27063
53815,Jamestown-St. Helena,-15.95348,-5.71188
87444,Ponte JK Bridge,-15.82378,-47.83019
87456,Lago Paranoa,-15.73712,-47.87937
