Spot ID,Name,Latitude,Longitude
17663,"CXSE stefansson is, nt",73.77,-105.28
18742,"CXAT arctic bay cs, nt",73.0,-85.02
18901,Sachs Harbour,72.0,-125.28
62898,Popova,73.33333,70.05
62899,Ostrov Dikson,73.5,80.4
62900,Malye Karmakuly,72.36667,52.7
63189,Stefansson Is,73.76667,-105.28333
63282,Arctic Bay Cs,73.0,-85.01667
65441,Mittarfik Upernavik (upernavik Lufthavn),72.78333,-56.13333
67442,Thomsen River,73.23333,-119.53333
95063,CYAB,73.01,-85.05
100276,Anabar,73.21667,113.5
100277,Cape Kigilyakh,73.35,139.88333
100278,Stolb Island,72.4,126.35
151226,CWSY,72.0,-125.27
151327,CWYF,73.2,-119.52
18524,Pond Inlet,72.67,-78.0
151366,CNDT,72.7,-77.95
65180,Pond Inlet Airpo,72.68333,-77.96667
