Spot ID,Name,Latitude,Longitude
166258,Cheney Lake,37.74103,-97.84226
15255,Wichita Airport,37.65,-97.43
15295,"KPGA page muni (amos), az",36.93,-111.45
15375,"KCEZ cortez, co",37.3,-108.63
48943,Kingman,37.669,-98.12388
120020,EW3867 Marvel CO US,37.1365,-108.22367
167796,ARKANSAS RIVER AT KEYSTONE DAM N OK US USARMY-COE,36.15139,-96.25139
14737,Mt Abrahms,37.96333,-107.64722
14739,Kendall Mountain,37.79389,-107.64194
15284,"KFMN farmington, nm",36.75,-108.23
15546,Durango - La Plata County Airport,37.1431,-107.7602
15819,McConnell AFB,37.62,-97.27
15942,Telluride Airport,37.95,-107.9
19992,Angel Fire,36.42,-105.29
50261,FSLO2,36.55389,-99.57111
54862,KPSO,37.28,-107.05
94987,RGNF1 CO US,37.5828,-106.1817
1096,Alamosa,37.4389,-105.8613
1097,Trinidad,37.26222,-104.33778
1098,Springfield,37.36944,-102.74728
15020,"KDDC dodge city(awos), ks",37.77,-99.97
15064,Springfield Airport,37.246,-93.387
15253,"KHRO harrison, ar",36.27,-93.15
15406,"KFLP flippin, ar",36.3,-92.47
15460,"KTUL tulsa intl arpt, ok",36.2,-95.9
15464,"KVBT bentonville (awos), ar",36.35,-94.22
15467,"KWWR w. woodward arpt, ok",36.44,-99.52
15514,"KXNA nw ar rgnl arpt, ar",36.28,-94.3
15517,"KRVS tulsa/jones arpt, ok",36.03,-95.98
15623,"KROG rogers, ar",36.37,-94.1
15929,"KGMJ grove muni arpt, ok",36.61,-94.74
31611,CW9785 Dodge City,37.778,-100.005
35821,HAMILTON KS US SAI,37.99166,-101.74633
50121,El Dorado Lake,37.84639,-96.82222
50259,ECLK1,37.2775,-95.77694
85785,WELLINGTON KS US SAI,37.32361,-97.38834
152038,TELLURIDE SKI RESORT - GOLD HILL CO US TRIDESKIR,37.89874,-107.8227
167800,HOMINY CREEK AT SKIATOOK DAM NEA OK US USARMY-COE,36.35056,-96.08694
168220,INDIAN SPRINGS MET STATION NEAR CO US USGS,37.76417,-105.62667
539258,W 20th St S,37.27162,-97.39602
597449,S Skylane Dr,37.19909,-107.8698
599725,Farmington ASC NM US NMCC,36.68651,-108.31011
629444,Ketchum/S Grand Lake Arpt TG,36.543,-95.012
631128,County Rd 25.3,37.48395,-108.59658
2391,Lamar,37.49306,-94.31472
2449,ULYSSES KS US SAI,37.604,-101.3735
2451,HUGOTON KS US SAI,37.163,-101.3705
2452,FORT SCOTT KS US SAI,37.79833,-94.76933
2928,W5YDW Billings,36.47521,-97.42169
3795,CW6135 Bayfield,37.21166,-107.53612
4441,La Veta Pass (74),37.61701,-105.19252
4442,I-25 @ Aguilar (88),37.41723,-104.63173
4483,LEBANON MO US MODOT,37.64833,-92.6525
5503,Raton Pass (74),37.08686,-104.52182
5504,Gobblers Knob (99),37.75113,-102.60236
5507,I-25 @ Apache City (87),37.85767,-104.82906
5508,I-25 @ Butte Creek (87),37.75058,-104.83547
5529,Wolf Creek Pass (68),37.54861,-106.77534
5903,MILLS CANYON,36.0544,-104.3244
6759,Plains East KS US UPR,37.27649,-100.55306
6764,Liberal West OK US UPR,37.01428,-100.9672
6786,Pratt West KS US UPR,37.64255,-98.80774
8321,Minneola West KS US UPR,37.43262,-100.04798
8330,Mullinville West KS US UPR,37.57642,-99.5143
8335,Hayne KS US UPR,37.09922,-100.8071
9058,Conlen East TX US UPR,36.27096,-102.17811
9068,Greensburg East KS US UPR,37.60961,-99.25026
9071,Hooker East OK US UPR,36.90242,-101.14649
9077,Optima West OK US UPR,36.74307,-101.38276
9085,Texhoma West TX US UPR,36.49078,-101.80427
9198,BIG HORN,37.0208,-106.2011
9206,BLACK MOUNTAIN,37.8617,-105.2842
9256,CIMARRON,37.1408,-101.9014
9633,TELEGRAPH FLAT,37.1914,-112.0269
9822,Goodwell East OK US UPR,36.6262,-101.5718
9829,Watson KS US UPR,37.33137,-100.27072
9837,Stratford East TX US UPR,36.37132,-102.00794
9840,Langdon West KS US UPR,37.83505,-98.37068
9841,Wellsford West KS US UPR,37.61787,-99.06315
12601,UT-191 @ Monticello UT US UTAH DOT,37.75608,-109.39774
12650,Preston West KS US UPR,37.7457,-98.59179
14107,CW8524 Texline,36.37818,-103.02445
14738,Eagle,37.88333,-107.7425
14889,CW8810 Elkhart,37.0375,-101.973
15001,"KPYX ochiltree/perry, tx",36.41,-100.75
15033,"KEHA elkhart, ks",37.0,-101.9
15047,"KCNU chanute/mrtn jhn, ks",37.67,-95.48
15062,"KPPF parsons, ks",37.3,-95.5
15079,"KCFV coffeyville arpt,ks",37.08,-95.57
15247,"KBVO bartlesville, ok",36.77,-96.02
15285,Joplin Airport,37.15,-94.5
15300,"KDHT dalhart, tx",36.02,-102.55
15311,"KPNC ponca city, ok",36.73,-97.1
15327,"KFYV fayetteville, ar",36.0,-94.17
15333,"KGUY guymon, ok",36.69,-101.51
15344,"KBCE bryce canyon, ut",37.7,-112.15
15383,"KTBN ft leonard wood, mo",37.73,-92.13
15398,"KGAG gage, ok",36.3,-99.77
15411,"KGCK garden city, ks",37.93,-100.72
15416,"KLBL liberal, ks",37.05,-100.97
15419,Wichita-Jabara Airport,37.75,-97.22
15466,Arkansas City,37.16,-97.03
15482,"KSWO stillwater, ok",36.17,-97.08
15494,"Alva, OK",36.77,-98.67
15502,Pratt,37.7,-98.75
15531,Taos Airport,36.45,-105.67
15533,Raton,36.76,-104.5
15597,"KCAO clayton muni, nm",36.45,-103.15
15791,Enid - Woodring,36.38,-97.78
15795,"KCPW wolf creek pass, co",37.45,-106.8
15859,"KVTP la veta pass, co",37.5,-105.17
15886,Medicine Lodge,37.3,-98.58
15909,"KASG springdale muni, ar",36.18,-94.12
15928,"KGCM claremore arpt, ok",36.29,-95.48
16067,Enid - Vance AFB,36.33,-97.92
18022,"KFAM farmington, mo",37.77,-90.43
18040,Poplar Bluff Airport,36.77,-90.32
18095,"KARG walnut ridge, ar",36.13,-90.92
18114,"KUNO west plains, mo",36.73,-91.85
20546,SPRINGFIELD CO US SUPERAWOS,37.45872,-102.618
