Spot ID,Name,Latitude,Longitude
150651,Chesapeake Lighthouse,36.90463,-75.71265
159575,Poquoson River Light 11,37.16476,-76.38357
160416,Middle Ground Lighthouse,36.94523,-76.39145
397,Cape Henry,36.92706,-76.00665
85054,Rudee Inlet,36.83037,-75.96657
533738,Mill Creek Pond,37.01179,-76.30516
1442,Plantation Flats,37.24344,-76.02934
47802,Messick Point,37.10988,-76.32087
685,New Point Comfort,37.32947,-76.27194
398,Sandbridge,36.69921,-75.9329
181396,Lynnhaven Inlet Light 2,36.9178,-76.09045
1714,Thimble Shoals,37.05396,-76.2608
582597,Turner Hall Hampton,37.0204,-76.33683
591808,Hampton River DB20,37.02199,-76.34241
591809,Research II Building,37.02415,-76.33773
591810,Harbour Centre - 5th Balcony,37.02539,-76.34143
591811,Harbour Centre - Rooftop NE,37.02579,-76.34116
591812,Harbour Centre - Rooftop SW,37.02568,-76.34143
693,3rd Island,37.03652,-76.07666
1441,Hampton Flats,36.98348,-76.35634
695,Silver Beach,37.49167,-75.96528
1440,Lafayette River,36.89329,-76.32411
700,Crisfield,37.96623,-75.87718
48410,Wachapreague,37.60166,-75.68974
161219,Tangier Sound Light,37.78799,-75.9735
697,Onancock,37.6525,-75.8809
48593,Creeds Inland,36.58971,-76.02099
100473,South Norfolk Jordan Bridge,36.80827,-76.29063
602187,Valdevaqueros Tarifa-Ion Club,36.06744,-5.68478
10212,Duck Pier,36.183,-75.747
16521,San Javier,37.77381,-0.81258
17363,Cadiz-Rota,36.629,-6.354
694,Kiptopeke,37.167,-75.988
15778,Tarifa-Gibraltar,36.15,-5.35
16366,Faro Aeroporto,37.02,-7.97
546775,Sandbridge Beach,36.75058,-75.94552
1654,Fort Story,36.926,-76.007
54096,Kill Devil Hills,36.011,-75.655
94451,First Landing,36.9744,-76.0456
51066,Albufeira,37.085,-8.261
149252,San Fernando,36.45311,-6.21511
1663,Yorktown CG TC,37.2265,-76.4787
48559,Willoughby-Degaussing,36.97742,-76.31527
55393,Embalse de Arcos,36.75767,-5.77333
53946,Stingray Point Buoy,37.5672,-76.2574
184458,Conil de la Frontera,36.289,-6.091
16524,Costa del Sol,36.67,-4.48
165411,Sines,37.95411,-8.87911
165515,Portimao,37.12811,-8.53111
699,Wallops Island,37.9372,-75.4662
10374,Rappahannock Shoal,37.538,-76.015
16513,Almeria Aero,36.8418,-2.3723
167844,CHINCOTEAGUE BAY INLET NEAR CHIN VA US USGS,37.90222,-75.40778
583573,SandsweptVB,36.90869,-75.99196
689,VA Beach Offshore Buoy,36.611,-74.842
1382,Langley AFB,37.0774,-76.3726
165199,York Spit,37.20063,-76.26598
671,Elizabeth City Airport,36.2577,-76.1716
690,Oceana,36.82087,-76.0277
164449,Windmill Point,37.61811,-76.29811
187359,Corolla Fire Station 61,36.33176,-75.81335
601540,Tarifa-Calle Mar,36.02,-5.61
16687,São Miguel,37.7444,-25.70568
721,Lewisetta,37.9954,-76.4646
1575,Hanover Airport,37.7093,-77.4348
18395,Dublin - New River Valley,37.13494,-80.68391
172153,Chesapeake Bay Bridge Tunnel,37.032,-76.083
184538,Playa del Pinillo,36.505,-4.844
555216,Mason Ave,37.26732,-76.01768
672,Edenton,36.0344,-76.5684
686,Newport News,37.1322,-76.494
688,Norfolk Intl,36.9037,-76.1926
696,Melfa,37.6517,-75.7619
1150,Norfolk NAS,36.934,-76.2958
1332,Suffolk Airport,36.6825,-76.6013
1393,Chesapeake Reg Airport,36.6619,-76.3255
1576,Richmond Airport,37.5115,-77.3236
10210,NNews Dominion,36.962,-76.425
10366,S. Craney Island,36.8881,-76.3386
17812,Clarksville,36.62,-87.42
18149,Tri-City - Bristol,36.48,-82.4
18196,Greensboro,36.0969,-79.9431
18423,Currituck,36.3985,-76.0144
45594,KPHT,36.34,-88.38
51106,Almensilla,37.311,-6.102
51108,Lebrija,36.917,-6.086
53945,Jamestown Buoy,37.20417,-76.7775
84305,Chesterfield County Airport,37.40657,-77.52243
