Spot ID,Name,Latitude,Longitude
16545,Balmaceda,-45.92,-71.68
17353,Comodoro Rivadavia Aeropuerto,-45.78,-67.5
52708,Dunedin Aerodrome,-45.9267,170.1967
166974,Saint Clair,-45.90911,170.49411
52702,Timaru,-44.3,171.2333
52704,Queenstown Aerodrome,-45.0167,168.7333
52705,Secretary Island,-45.2167,166.8833
171941,Tara Hills,-44.51667,169.9
187738,Oamaru Arpt (aut,-44.97,171.08167
196134,Twoizal,-44.22871,170.09923
533330,Queenstown International Airport,-45.02111,168.73917
564474,Moeraki Boulders Rd,-45.35563,170.82954
594652,Los Guanacos,-44.56406,-70.86669
594666,Gobernador Costa,-44.02286,-70.74033
629755,Wendon Valley,-45.85954,168.9638
634490,Scroggs Hill Rd,-45.92941,170.31808
147387,Wingatui,-45.87611,170.37611
196108,Moeraki Beach-Speargrass Domain,-45.34856,170.82333
166971,Macandrew Bay,-45.87111,170.59111
528920,Briar Wood Ln,-44.80523,169.31054
557025,Pareora River Rd,-44.45245,171.10226
644298,Morrison St,-45.87259,170.35403
166975,Chisholm Park,-45.90111,170.52911
187114,Milford Soundn Aws,-44.66667,167.91667
532547,Camp Rd,-45.87519,170.62211
566673,Cromwell,-45.02959,169.20654
623348,Bradley Ct,-45.41647,167.73679
631226,Robertson Rd,-45.92229,168.9346
631227,Chatton North,-45.93603,168.9004
50517,Lake Wakatipu,-45.06,168.567
50524,Waitoa Park,-45.112,170.938
147385,Otematata,-44.60611,170.19311
147386,Blueskin,-45.76911,170.58411
186328,FW0696 Naseby NZ,-45.02667,170.145
528698,Kaiwara St,-45.07359,168.74687
531331,Speargrass Flat Rd,-44.96825,168.77777
553817,Matai Rd,-44.68237,169.13182
566565,Barclay Pl,-44.67818,169.14258
581292,Gibbston Back Rd,-45.03086,168.96884
651297,Stafford St,-44.94125,168.82986
72898,Dunedin Harbour,-45.88094,170.51615
72899,Goat Island,-45.82277,170.62657
72900,Taiaroa Point,-45.77231,170.72823
89175,Comodoro Rivadavia,-45.8572,-67.45402
96257,Lake Hawea,-44.583,169.278
