Spot ID,Name,Latitude,Longitude
184573,LAKE HEFNER NEAR OKLAHOMA CITY HADS,35.5828,-97.5978
15359,Wiley-Hefner,35.54594,-97.63717
15842,"KABQ albuquerq/krtlnd, nm",35.05,-106.62
15521,Santa Fe Airport,35.62,-106.08
15839,"KSOW show low, az",34.27,-110.0
659,Ardmore,34.3032,-97.0195
6768,Los Tanos NM US UPR,34.98744,-104.55874
6776,Logan South NM US UPR,35.34639,-103.40956
11210,KIAMICHI,34.7558,-94.9831
15061,OKC Airport,35.4,-97.6
15321,"KLVS las vegas, nm",35.65,-105.15
15412,"KGCN grand canyon, az",35.95,-112.15
15782,"KLAM los alamos, nm",35.88,-106.28
15937,Norman Airport,35.24,-97.47
16114,"KAEG albuquerque, nm",35.15,-106.78
16212,Tinker AFB,35.42,-97.38
30197,Bushland TX,35.17,-102.1
31601,I-40 @ Painted Desert NP HQ,35.0637,-109.77562
46704,D1490,35.123,-106.53383
48887,Sedona,34.85,-111.78
50275,CYDO2,34.62917,-95.35083
85776,DW5430 Placitas NM US,35.31017,-106.5055
91059,Okarche,35.732,-97.971
152928,EW6685 Santa Fe NM US,35.60262,-105.88133
174343,Little Spruces AZ US UUNET,35.33134,-111.71254
175585,cloudport,35.429,-106.047
554498,Mogollon Park,34.408,-110.525
564148,Logan,35.35329,-103.44919
617312,Assisi Hills Rd,35.33237,-106.58553
3299,CW3200 Clovis,34.43467,-103.31883
5599,BOOTLEG RAWS,34.82861,-102.80944
5633,CAPROCK CANYONS STATE PARK RAWS NEAR QUITAQUE 4NNE,34.41056,-101.04917
5883,MATADOR WILDLIFE MANAGEMENT AREA RAWS NEAR PADUCAH 11NW,34.13278,-100.41583
5925,MOUNTAINAIR,34.5208,-106.2628
5996,Humbug Creek,34.11,-112.3
5999,Kykotsmovi,35.8625,-110.615
6064,SEVILLETA,34.3769,-106.7978
6212,WICHITA,34.7606,-98.7419
6798,Vaughn East NM US UPR,34.63032,-105.15058
6808,Rehm TX US UPR,35.97778,-102.63304
7139,MALPIAS LAVA FLOW,34.8517,-108.1744
7232,MELROSE RANGE,34.3,-103.8
7278,LIMESTONE CANYON,34.1786,-110.2744
7393,Frijoles,35.7792,-106.2656
8317,Santa Rosa NM US UPR,34.93132,-104.69997
8319,Torrence North NM US UPR,34.39315,-105.47694
8336,Tucumcari NM US UPR,35.14879,-103.80176
8340,Middle Water TX US UPR,35.81472,-102.82743
8637,CEDAR RAWS NEAR FRITCH 7SW,35.69028,-101.56833
9073,Adberg NM US UPR,35.23513,-103.59542
9074,Nara Visa East NM US UPR,35.66411,-103.02447
9078,Pastura East NM US UPR,34.79979,-104.91408
9080,Montoya NM US UPR,35.097,-104.06326
9818,Cuervo East NM US UPR,35.05689,-104.35427
9835,Sand Springs NM US UPR,35.472,-103.28436
