Spot ID,Name,Latitude,Longitude
113486,Cumbuco,-3.62833,-38.7225
643541,Praia do Futuro,-3.74525,-38.44941
611405,Praia Patos-Laba Sports,-2.99453,-39.7341
16458,Fortaleza,-3.78,-38.53
20063,Parnaiba,-2.92,-41.75
603015,Jericoacoara Aeroporto,-2.9,-40.35
17060,Sao Luis,-2.6,-44.23
53061,Malindi Airport,-3.23,40.1
647673,Lu&iacute;s Correia,-2.90686,-41.44971
17075,Fernando de Noronha,-3.85,-32.42
17061,Santarém,-2.43,-54.72
17523,HTKJ kilimanjaro airport,-3.42,37.07
17530,HTAR arusha,-3.33,36.62
17538,HTMW mwanza,-2.47,32.92
30846,HBBA bujumbura,-3.32,29.32
51818,52002,-2.009,165.011
52031,51009,-2.037,-140.00999
52032,51017,-2.029,-124.902
62879,Mwanza Airport,-2.46667,32.91667
62880,Kilimanjaro,-3.42941,37.07446
63009,Tanjung Pandan/b,-2.75,107.75
63049,Namlea/buru Isla,-3.23333,127.08333
63231,Catamayo,-3.98333,-79.36667
68474,Voi,-3.4,38.56667
68864,Bujumbura,-3.32402,29.31852
97520,Cuenca/mariscal,-2.88947,-78.9844
99285,Cuenca Cancon,-2.88,-78.98
603017,CIUDAD DE CATAMY TG,-4.0,-79.3666
631637,UHU_Home,-2.09339,30.08888
642547,Watamu,-3.37946,39.98612
45399,WAJJ,-2.57,140.48
16456,Manaus,-3.03,-60.05
43551,Palembang-Tanangbetut WIPP,-2.9,104.7
53635,"Lamu, Kenya",-2.2524,40.9131
62968,Jayapura / Sentani,-2.56667,140.48333
63008,Pangkalpinang,-2.16667,106.13333
63010,Bengkula/padangk,-3.88333,102.33333
94506,Salinas,-2.20499,-80.98888
43548,Syamsudin Noor WAOO,-3.45,114.77
43962,Ambon-Pattimura WAPP,-3.7,128.08
63314,Kanton,-2.76667,-171.71667
66439,Geser,-3.8,130.83333
68191,Kavieng,-2.56667,150.81667
68488,Makindu,-2.28971,37.82862
68542,Jayapura/dok Ii,-2.36667,140.71667
68875,Kamembe,-2.46224,28.90795
71417,HRZA,-2.47,28.92
17421,Tumbes,-3.55,-80.4
16190,Iquitos,-3.75,-73.25
16864,Guayaquil,-2.15,-79.88
17071,Tefé,-3.37,-64.68
17072,São Félix,-3.67,-69.67
20025,Altamira,-3.2,-52.2
20028,Crespo,-3.15,-59.98
20033,Tucuruí,-3.72,-49.72
62953,Majene,-2.5,119.0
62969,Ambon / Pattimura,-3.71026,128.08914
62979,Kerinci/depati P,-2.76667,101.36667
63007,Palembang / Talangbetut,-2.89825,104.6999
63015,Pangkalan Bun/is,-2.7,111.7
63017,Syamsudin Noor,-3.44236,114.76255
63040,Masamba/andi Jemma,-2.55,120.36667
63048,Fak-fak/torea,-2.88333,132.25
63050,Amahai,-3.35,128.88333
63207,Canar,-2.55,-78.93333
63228,Coronel E Carvajal Airport,-2.29917,-78.12075
65500,Iquitos,-3.78474,-73.30881
66540,Makabana,-3.48333,12.61667
66541,Sibiti,-3.68333,13.35
66543,M'pouya,-2.617,16.216
66544,Djambala,-2.53333,14.76667
68189,Vanimo aero,-2.7,141.31667
68533,Sanana,-2.08333,126.0
68541,Nabire/irian Jay,-3.33333,135.5
68543,Enarotali,-3.9259,136.377
68550,Kotabaru/setagen,-3.4,116.21667
69205,Fonte Boa,-2.53333,-66.16667
69206,Belterra,-2.63333,-54.95
69207,Itacoatiara,-3.13333,-58.43333
69226,Monte Alegre,-2.0,-54.08333
69231,Tucurui,-3.71667,-49.71667
69294,Tefe,-3.36667,-64.7
153897,Santa Rosa,-3.43516,-79.97782
159178,SEMC,-2.29,-78.12
159689,Gualaquiza Airport,-3.42321,-78.56699
185532,FW4317 Coweta OK US,-3.36383,-95.71517
542989,San Lorenzo,-2.50946,-80.25835
551708,GW0436 Kimana KE,-2.763,37.56917
593883,Kilifi County,-3.68158,39.86763
603018,GUALAQUIZA TG,-3.4166,-78.5666
603020,SANTA ROSA TG,-3.4333,-79.9833
651064,Av. Beira Mar,-3.15233,-39.4318
32896,Luis Correia,-2.86979,-41.59738
33695,Cumbuco,-3.62065,-38.72744
33697,Jericoacoara,-2.77245,-40.53073
33698,Paracuru,-3.38886,-38.98721
33726,Malindi,-3.11328,40.19098
34237,Itarema,-2.86513,-39.89379
34238,Pecem,-3.53275,-38.823
34240,Porto das Dunas,-3.8514,-38.37339
34241,Prainha,-3.90189,-38.34006
34242,Prea,-2.80133,-40.40429
34243,Villa Caetanos,-3.06935,-39.55587
34504,Che Shale,-3.08493,40.17364
35826,Flecheiras,-3.14856,-39.31887
43574,Icaraizinho,-3.01892,-39.64564
55346,Fortaleza Beach,-3.71499,-38.52654
69297,Barrinha,-2.8057,-40.29552
84914,Fleixeiras Beach,-3.89962,-38.34558
84915,Praia do Futuro,-3.73918,-38.44799
86408,Kenya nearshore,-3.8657,40.815
